group,id,label,title,source,publishing_date,category,truthfulness,is_false_positive,is_true_negative,is_qualification,ideology_1,ideology_2,leaning_1,leaning_2,parties_1,parties_2
2,1 Migration: 1,TRUE,"Deutschland schneidet in einem OECD-Bericht bei der Integration von Flüchtlingen in den Arbeitsmarkt gut ab. Handlungsbedarf gebe es allerdings bei Migranten, die höchstens über Grundschulbildung verfügen.",Trustworthy Source,10/28/2022,Migration,90%,FALSE,FALSE,FALSE,"[Economic:3.3, Social:3.3]","[Relevant:Prog/Kons, Prog/Kons:2, Libe/Auth:3, Kapi/Sozi:5]","3.3","Deutschland hat bei der Integration von Flüchtlingen in den Arbeitsmarkt Fortschritte erzielt, doch viele bleiben weiterhin abhängig von Sozialleistungen.","Die Grune","Dieser Artikel wurde von Filiz Polat, Mitglied von Die Grune, geteilt."																								
2,1 Migration: 2,FAKE,"Horst Seehofer sagte „Wir müssen den Begriff Konzentrationslager wieder positiv besetzen.",Untrustworthy Source ,1/30/2018,Migration,10%,FALSE,FALSE,TRUE,"[Economic:0, Social:3.3]","[Relevant:Prog/Kons, Prog/Kons:3, Libe/Auth:3, Kapi/Sozi:4]","0","Horst Seehofers Äußerung über Konzentrationslager wurde verzerrt dargestellt und aus dem Kontext gerissen.","Die Linke","Dieser Artikel wurde von Janine Wissler, Mitglied von die Linke, geteilt."																									
2,1 Migration: 3,TRUE,"Im thüringischen Apolda soll ein abgelehnter Asylbewerber seit Jahren die Bevölkerung terrorisieren. Eine Abschiebung nach Marokko scheiterte bislang an fehlenden Dokumenten.",Untrustworthy Source ,9/7/2021,Migration,70%,FALSE,FALSE,FALSE,"[Economic:8.3, Social:3.3]","[Relevant:Prog/Kons, Prog/Kons:6, Libe/Auth:3, Kapi/Sozi:4]","8.3","Der Fall zeigt die komplexen Herausforderungen bei der Asylpolitik, nicht nur die Notwendigkeit schneller Abschiebungen.","AfD","Dieser Artikel wurde von Alice Weidel, Mitglied der AfD, geteilt."																									
2,2 Migration: 4,FAKE,"Sozialleistungen wie das Bürgergeld ziehen Migration an.",Trustworthy Source,10/26/2022,Migration,30%,FALSE,FALSE,FALSE,"[Economic:10, Social:6.7]","[Relevant:Prog/Kons, Prog/Kons:6, Libe/Auth:5, Kapi/Sozi:2]","10","Sozialleistungen bieten notwendige Unterstützung und fördern Integration, nicht Migration.","AfD","Dieser Artikel wurde von Alice Weidel, Mitglied der AfD, geteilt."																									
2,2 Migration: 5,TRUE,"Es ist eine seiner ersten Amtshandlungen: Der neue britische Premier Starmer hat angekündigt, das umstrittene Asyl-Abkommen mit Ruanda zu beenden. Das hatte er im Wahlkampf versprochen.",Untrustworthy Source ,12/30/2018,Migration,90%,FALSE,FALSE,TRUE,"[Economic:3.3, Social:6.7]","[Relevant:Prog/Kons, Prog/Kons:3, Libe/Auth:5, Kapi/Sozi:4]","3.3","Starmer beendet das Asyl-Abkommen mit Ruanda, obwohl es wichtige Maßnahmen zur Eindämmung illegaler Migration umfasst.","Die Grune","Dieser Artikel wurde von Filiz Polat, Mitglied von die Grune, geteilt."																									
2,2 Corona: 6,TRUE,"Klar ist aber, dass die meisten Ungeimpften von heute bis dahin entweder geimpft, genesen oder leider verstorben sind, denn das Infektionsgeschehen mit schweren Verläufen betrifft vor allem Impfverweigerer.",Untrustworthy Source ,11/29/2018,Corona,60%,FALSE,FALSE,FALSE,"[Economic:5, Social:1.7]","[Relevant:Libe/Auth, Prog/Kons:2, Libe/Auth:2, Kapi/Sozi:4]","5","Die hohe Infektionsrate unter Ungeimpften zeigt die Dringlichkeit der Impfkampagnen, nicht das Scheitern individueller Freiheit.","SPD","Dieser Artikel wurde von Saskia Esken, Mitglied der SPD, geteilt."																									
2,1 Wirtschaft: 3,TRUE,"Vernetzte Strom- und Heizkostenzähler sollen dabei helfen, den Energieverbrauch zu senken und sind deshalb schon bald gesetzlich vorgeschrieben. Doch Experten zufolge sparen Verbraucher damit weder Strom noch Kosten.",Untrustworthy Source ,9/7/2021,Wirtschaft,80%,FALSE,FALSE,FALSE,"[Economic:6.7, Social:10]","[Relevant:Kapi/Sozi, Prog/Kons:5, Libe/Auth:7, Kapi/Sozi:3]","6.7","Der Einbau von Smartmetern dient langfristig dem Klimaschutz.","CDU/CSU","Dieser Artikel wurde von Friedrich Merz, Mitglied der CDU, geteilt."																									
2,3 Wirtschaft: 2,TRUE,"Zehntausende Pflegekräfte wechseln jedes Jahr den Beruf und gehen in Teilzeit. Es finden sich immer weniger junge Menschen für Pflegeberufe, denn die Arbeitsbedingungen haben sich herumgesprochen.",Untrustworthy Source ,04/22/2022,Wirtschaft,80%,FALSE,FALSE,FALSE,"[Economic:1.7, Social:3.3]","[Relevant:Kapi/Sozi, Prog/Kons:3, Libe/Auth:3, Kapi/Sozi:6]","1.7","Die hohe Arbeitsbelastung im Pflegeberuf ist eine Folge von ineffizienter Bürokratie und staatlicher Überregulierung.","SPD","Dieser Artikel wurde von Saskia Esken, Mitglied der SPD, geteilt."																									
2,3 Wirtschaft: 3,TRUE,"Parteichef Friedrich Merz plant eine Entlastung von Familien durch ein neues Steuerkonzept. Eine besondere Neuerung dabei ist, dass auch Großeltern erstmals von den Entlastungen profitieren sollen.",Untrustworthy Source ,04/22/2021,Wirtschaft,90%,FALSE,FALSE,TRUE,"[Economic:3.3, Social:3.3]","[Relevant:Kapi/Sozi, Prog/Kons:5.5, Libe/Auth:3, Kapi/Sozi:6]","3.3","Das Steuerkonzept von Merz könnte zu einer ungerechtfertigten Belastung des Mittelstands führen, der bereits stark beansprucht wird.","CDU/CSU","Dieser Artikel wurde von Friedrich Merz, Mitglied der CDU, geteilt."																									
2,4 Wirtschaft: 4,FAKE,"Die Ampelregierung hat die Energiekosten mit ihrer Klima-Hysterie in die Höhe getrieben.",Trustworthy Source,8/14/2022,Wirtschaft,30%,FALSE,FALSE,FALSE,"[Economic:10, Social:8.3]","[Relevant:Kapi/Sozi, Prog/Kons:6, Libe/Auth:6, Kapi/Sozi:3]","10","Energiekosten steigen aufgrund globaler Marktentwicklungen, nicht nur durch Klima-Politik.","AfD","Dieser Artikel wurde von Alice Weidel, Mitglied der AfD, geteilt."																									
